empty,English,Turkish,Position,
,plentiful,bereket,,
,women who struggle a lot,mücadele içindeki kadınlar,,
,insecurity,tekinsizlik,2,
,solidarity,dayanışma,4,
,sisterhood,kız kardeşlik,5,
,hope,umut,6,
,our labour,bizim emeğimiz,9,
,happiness,mutluluk,11,
,the women in me,içimdeki kadın,12,
,maybe it’s just okay,belki de sorun değildir,14,
,understanding,anlayış,15,
,safety,güvenlik,16,
,celebration,kutlamak,17,
,shared stories,paylaşılan hikayeler,18,
,feel,hissetmek,1,
,womanhood,kadınlık,,
,responsibility,sorumluluk,20,
,togetherness,birliktelik,25,
,healing,iyileşmek,26,
,kindness,kibarlık,28,
,aware of our power,gücünün farkında ol,3,
,collective,beraber,7,
,shared struggles,paylaşılan mücadeleler,8,
,embrace with love,sevginle sar,10,
,sitting and making,oturup yapmak,13,
,making insecurity visible,güvensizliği görünür kılmak,19,
,reminders,anımsatıcılar,,
,multidimensional resistance,çok boyutlu direniş,22,
,solidarity against precarity,güvencesizliğe karşı dayanışma,23,
,acting together,birlikte hareket etmek,24,
,solidarity against violence,şiddete karşı dayanışma,27,
,online and offline networks,çevrimiçi ve çevrimdışı ağlar,,
,love ,sevgi,30,